id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,fyp,foryou,foryoupage,viral,funny,comedy
6937743964443364613,79.0,19,1,6743352887282664454,1,130,2900000,36300000,114,1238,6911052767561894662,1,15,15,164700,1315,1700000,3434,2,1,0,0,0,0,0
6935280100858498309,121.0,4,2,6900415669294220293,0,0,180500,3700000,178,824,6758505002894903298,0,30,11,24700,348,248200,202,6,1,0,1,0,0,0
6938173949737995526,26.0,23,2,6621735331879354369,0,539,2400000,64300000,351,14900,6938173851582958341,1,30,30,581000,5424,2800000,3878,0,0,0,0,0,0,0
6946025643092069638,73.0,3,3,6943555913556116486,0,28,6262,239900,29,36,6946025421024545542,1,7,8,232900,13900,1800000,1002,3,0,0,0,0,0,0
6940901220517301509,33.0,8,3,6900065928828224518,0,5,5100000,45400000,110,333,6940900756782402309,1,7,8,203400,2388,1500000,3138,2,0,0,0,0,0,0
6939980767615356165,38.0,20,0,6879533560338318341,0,310,10400,994300,423,36900,6815306385019226886,1,42,9,123000,2334,407400,5610,1,0,0,0,0,0,0
6920723932102413574,24.0,23,4,6729543102472012805,1,142,5100000,94900000,300,1806,6920723955091360518,1,10,11,824300,7633,19900000,6853,1,0,0,0,0,0,0
6945496627285085445,114.0,17,1,6805149467089748997,0,24,131300,2400000,20,3284,6945496507957152518,1,53,53,949900,3962,3300000,2793,3,1,0,0,0,0,0
6930373777909943557,55.0,23,2,6687350032557081606,0,196,916600,13500000,356,20000,6613051618713683974,0,30,13,23900,17,164400,5771,3,1,0,0,0,0,0
6926110222628998402,67.0,11,5,6626035987700531205,1,1,36500000,673600000,1274,9039,6926110206086744834,1,30,30,426100,1278,6400000,6872,2,0,0,0,0,0,0
6939603492151545093,65.0,20,6,6902268681168389125,0,17,104700,741100,486,1264,6939603392398379782,1,4,5,37400,370,294400,1077,8,1,0,1,1,0,0
6941150454923480326,116.0,0,4,6659603165983916037,0,442,202700,5800000,141,25300,6941150222076726021,1,59,59,2400000,59200,10400000,5439,6,0,0,0,0,0,0
6942556338375363846,65.0,19,0,9793510,0,276,942000,16000000,876,4408,6932369970047224581,1,26,26,554100,5462,2400000,7684,0,0,0,0,0,0,0
6939742220371119365,19.0,5,0,6718446146169127942,1,424,5900000,130400000,719,19500,6939741751154313989,1,54,55,77500,200,353300,555,1,0,0,0,0,0,0
6936409901459672326,37.0,5,5,6906434832282010630,0,7,963200,13400000,165,153,6864645279707040518,1,52,17,23600,29,828400,242,2,0,0,0,0,0,0
6944108348887420166,42.0,23,4,137527168145879040,1,137,1200000,2700000,34,110,6944108235037100805,1,8,8,180000,1790,2500000,22500,2,0,0,0,0,0,0
6939663928834215173,94.0,0,0,6774956140885591046,0,999,50300,930400,129,19200,6889946269511321601,0,60,10,892800,1328,9300000,24000,0,0,0,0,0,0,0
