id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,popular,fyp,foryou,foryoupage,viral,fypシ,funny,xyzbca,comedy,duet,tiktok,fy,parati
6.94E+18,82,12,1,6.81E+18,0,2045,225100,6000000,214,20100,6.94E+18,1,8,8,5400000,285500,28800000,62700,9,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,87,0,4,6.68E+18,0,42,34100,650700,35,26600,6.71E+18,0,60,9,416300,1591,3000000,0,7,1,1,1,1,0,0,0,0,0,0,0,0,0
6.94E+18,92,23,3,6.53E+18,0,238,158500,4900000,30,16700,6.94E+18,1,30,30,4100000,37700,29900000,64800,5,1,1,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,28,17,6,6.80E+18,1,32,13000000,403900000,308,3955,6.92E+18,1,27,28,3100000,10600,12900000,6646,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,94,20,5,6.81E+18,0,508,6100000,149900000,574,17200,6.94E+18,1,24,24,575300,29000,4000000,5236,8,1,1,1,1,0,0,0,0,0,1,0,0,0
6.95E+18,84,6,3,6.88E+18,0,3,4300000,53900000,338,411,6.89E+18,1,33,8,1300000,22800,6700000,15500,6,1,1,1,0,0,0,0,0,0,0,1,0,0
6.95E+18,100,4,2,6.73E+18,1,693,12300000,241500000,257,7382,6.94E+18,0,30,44,265700,235,2100000,1393,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6.94E+18,124,19,3,6.56E+18,0,5806,316800,2900000,337,15600,6.75E+18,0,60,39,961200,119200,8900000,4364,14,1,1,0,0,1,0,0,0,0,0,0,0,0
6.93E+18,93,17,3,6.75E+18,0,150,22200,1300000,181,5907,6.83E+18,0,20,9,880500,94300,18000000,9226,2,1,1,0,1,0,0,0,0,0,0,0,0,0
6.95E+18,36,1,3,13160811,1,635,5900000,284800000,926,78600,6.79E+18,0,60,55,891900,23800,4900000,5768,2,1,1,1,0,0,0,0,0,0,0,0,0,0
6.94E+18,141,5,0,6.92E+18,0,26,546200,4200000,322,646,6.92E+18,1,19,9,37400,199,522200,1263,10,1,1,1,1,1,0,0,0,0,0,0,0,0
6.93E+18,59,15,0,6.92E+18,0,1,558700,10100000,73,84,6.93E+18,1,8,8,703300,10500,14300000,8531,2,1,0,0,0,0,0,0,0,0,0,1,0,0
6.91E+18,91,23,6,6.91E+18,0,233,298200,5000000,219,618,6.83E+18,1,6,8,4500000,369100,24800000,30500,5,1,0,1,0,0,0,0,0,0,0,0,0,0
6.94E+18,86,20,5,6.75E+18,1,166,22300000,326400000,120,197,6.92E+18,1,34,35,1700000,2370,13400000,7591,4,1,1,0,0,0,0,0,0,0,1,0,0,0
6.95E+18,148,18,1,6.65E+18,0,163,142600,3500000,154,4512,6.95E+18,1,59,59,1300000,35500,4900000,5076,15,1,1,1,1,0,0,0,0,0,0,0,0,0
6.94E+18,55,14,1,6.60E+18,1,1124,12000000,225000000,932,5705,6.92E+18,0,60,14,1600000,12400,25200000,6241,3,1,0,1,0,0,0,0,0,0,0,1,0,0
6.94E+18,32,0,6,1.67E+17,1,615,9500000,235000000,2457,22900,6.59E+18,0,14,14,328400,5645,2800000,7720,0,1,0,0,0,0,0,0,0,0,0,0,0,0
