id,text,hour,dayofweek,authorMeta.id,authorMeta.verified,authorMeta.following,authorMeta.fans,authorMeta.heart,authorMeta.video,authorMeta.digg,musicMeta.musicId,musicMeta.musicOriginal,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,numHashtags,fyp,foryou,foryoupage,viral,fypシ,xyzbca
6.9464e+18,43.0,3,4,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.92595e+18,1,21.0,10.0,2295.0,11.0,9072.0,42.0,3,0,0,0,0,0,0
6.94602e+18,55.0,2,3,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.88181e+18,1,10.0,10.0,7103.0,50.0,26900.0,87.0,4,0,0,0,0,0,0
6.94527e+18,41.0,2,1,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.79263e+18,1,11.0,11.0,5025.0,21.0,21600.0,126.0,4,0,0,0,0,0,0
6.94521e+18,33.0,22,0,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.86211e+18,1,9.0,9.0,4644.0,13.0,22500.0,104.0,3,1,0,0,0,0,0
6.94435e+18,64.0,15,5,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.93476e+18,1,9.0,10.0,14200.0,147.0,57400.0,165.0,4,1,0,0,0,0,0
6.94373e+18,22.0,23,3,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.89067e+18,1,36.0,11.0,6393.0,28.0,29600.0,93.0,0,0,0,0,0,0,0
6.94267e+18,90.0,2,1,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.86396e+18,1,7.0,7.0,4138.0,24.0,22200.0,111.0,5,0,0,0,0,0,0
6.94147e+18,74.0,20,4,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.71769e+18,0,30.0,9.0,6497.0,10.0,38900.0,20.0,5,1,0,0,0,0,0
6.94099e+18,84.0,13,3,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.92883e+18,0,9.0,10.0,9985.0,73.0,44900.0,193.0,4,1,0,0,0,0,0
6.94024e+18,23.0,13,1,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.93118e+18,1,7.0,8.0,89000.0,859.0,355100.0,677.0,3,1,0,0,0,0,0
6.93851e+18,61.0,21,3,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.75679e+18,0,30.0,13.0,13500.0,116.0,54900.0,76.0,4,0,0,0,0,0,0
6.93507e+18,50.0,15,1,6.76281e+18,0,468.0,455300.0,6400000.0,99.0,36700.0,6.54493e+18,1,8.0,9.0,6251.0,49.0,43600.0,118.0,4,0,0,0,0,0,1
